"date";"nhos";"nicu"
2020-02-25;4;0
2020-02-26;5;0
2020-02-27;5;0
2020-02-28;5;0
2020-02-29;5;0
2020-03-01;6;0
2020-03-02;7;1
2020-03-03;9;1
2020-03-04;12;2
2020-03-05;16;2
2020-03-06;20;3
2020-03-07;22;6
2020-03-08;28;5
2020-03-09;38;7
2020-03-10;47;8
2020-03-11;53;9
2020-03-12;60;8
2020-03-13;72;9
2020-03-14;86;11
2020-03-15;108;12
2020-03-16;149;22
2020-03-17;169;26
2020-03-18;194;26
2020-03-19;223;30
2020-03-20;257;29
2020-03-21;297;27
2020-03-22;331;37
2020-03-23;376;46
2020-03-24;429;53
2020-03-25;495;64
2020-03-26;557;72
2020-03-27;621;78
2020-03-28;649;80
2020-03-29;672;82
2020-03-30;676;79
